Mine / Project / Field,State /,Operating,Processed,Ore Grades,,,,,,,,,,,,,Direct Shipping Ore,,,,,,,,Copper Concentrate,,,,,,Lead Concentrate,,,,,,Zinc Concentrate,,,,,,Nickel Concentrate,,,,,,,,,,,,,,,,,,,Other Concentrate,,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Tailings,Dollied,Alluvial,Waste Rock,Extraction,Rock,,Status,Metals / Minerals
(in no particular order),Territory,Period,Mt ore,g/t Au,g/t Ag,%Cu,%Pb,%Zn,%Ni,%Co,%Sn,%WO3,%Fe,%Li,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,kt conc,%Pb,%Zn,g/t Ag,%Cu,g/t Au,kt conc,%Zn,%Pb,g/t Ag,%Cu,g/t Au,kt conc,%Ni,%Cu,%Co,g/t PGEs,g/t Au,g/t Ag,kt conc,%Sn,kt conc,%Sn,kt conc,%WO3,kt conc,%WO3,Mt conc,%Fe,kt conc,%Li,kt conc,%Cu,%Pb,%Zn,g/t Ag,g/t Au,Other,Other,t Au,t Ag,kt Cu,kt Pb,kt Zn,kt Ni,kt Co,Mt Fe ore,kt Sn,kt WO3,kt U3O8,Mt Mn conc,Mt brown coal,t PGEs,kt Sb,Mt PO4 rock,Mcarats,kt REO,kt Li,Other,Other,kg Au,kg Au,kg Au,Mt,Estimated,Estimated,,,
King of the Hills,WA,1985-2015@,2.48,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.938,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Marvel Loch,WA,1981-2013,44.1,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9,,,,,,,,,,,,,,,,,,,,,,,,8.65,,E,,C&M,Au
Bullfinch,WA,1987-2001,9.18,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.29,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Great Victoria,WA,1988-1989,0.342,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.564,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Yilgarn Star,WA,1991-2001,6.81,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.90,,,,,,,,,,,,,,,,,,,,,,,,29.55,,,,C&M,Au
Nevoria,WA,1987-1998,3.86,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.416,,,,,,,,,,,,,,,,,,,,,,,,19.13,,,,C&M,Au
Fortnum,WA,"1989-2021@,#",11.2,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.15,,,,,,,,,,,,,,,,,,,,,,,,34.2,,E,,Op,Au
Bamboo Creek (WA),WA,1986-2016@,0.848,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.148,,,,,,,,,,,,,,,,,,,,,,,,0.36,,E,,C&M,Au
Normay Tailings,WA,2001-2008@,0.056,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Binduli,WA,1989-2004,5.99,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.16,,,,,,,,,,,,,,,,,,,,,,,,12.1,,E,,C&M,Au
Bluebird,WA,1990-2004,30.4,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.77,,,,,,,,,,,,,,,,,,,,,,,,134.0,,E,,C&M,Au
Cue,WA,2018-2021#,4.24,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.896,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Au
Bounty,WA,1989-2000,7.56,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.88,,,,,,,,,,,,,,,,,,,,,,,,7.15,,E,,C&M,Au
Mount McClure,WA,1992-1999,6.70,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.96,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
North Shaw,WA,1989,0.023,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Gidgee,WA,1992-1998,4.86,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.14,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Beta Hunt,WA,2016-2021#,3.52,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Au
Bullabulling,WA,1989-1998,6.51,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.332,,,,,,,,,,,,,,,,,,,,,,,,1.10,,E,,C&M,Au
Central Murchison,WA,2015-2018,3.71,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.980,,,,,,,,,,,,,,,,,,,,,,,,34.1,,E,,C&M,Au
Tuckabianna,WA,1989-2021#,12.5,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.68,,,,,,,,,,,,,,,,,,,,,,,,22.4,,E,,Op,Au
Goongarrie,WA,1987-1989,0.718,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.665,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Marymia,WA,1992-1999,3.21,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.78,,,,,,,,,,,,,,,,,,,,,,,,1.33,,E,,C&M,Au
Higginsville,WA,"1989-2021@,#",20.2,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.94,,,,,,,,,,,,,,,,,,,,,,,,52.0,,E,,Op,Au
Golden Kilometre,WA,1987-1990,1.62,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.535,,,,,,,,,,,,,,,,,,,,,,,,4.2,,E,,C&M,Au
Cannon,WA,2016-2017,0.391,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.124,,,,,,,,,,,,,,,,,,,,,,,,4.24,,E,,C&M,Au
Chalice,WA,1995-2000,4.23,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.84,,,,,,,,,,,,,,,,,,,,,,,,3.43,,E,,C&M,Au
Boorara,WA,2020-2021#,0.278,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.381,,,,,,,,,,,,,,,,,,,,,,,,1.17,,E,,Op,Au
Mount Martin,WA,1989-1999,1.15,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.314,,,,,,,,,,,,,,,,,,,,,,,,0.46,,E,,C&M,Au
Tarmoola-Celtic,WA,1990-2004,28.6,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.57,,,,,,,,,,,,,,,,,,,,,,,,43.7,,E,,C&M,Au
Butcher Well,WA,1993-1994,0.563,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.444,,,,,,,,,,,,,,,,,,,,,,,,8.40,,,,C&M,Au
Golden Feather,WA,1998-2001,3.07,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.459,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Gullewa,WA,1994-1996,0.342,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.742,,,,,,,,,,,,,,,,,,,,,,,,3.23,,,,C&M,Au
Hedges,WA,1988-1999,30.7E,1.12E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.13,,,,,,,,,,,,,,,,,,,,,,,,30.7,Au,E,,C&M,Au
Hopes Hill,WA,1988-1994,8.81,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.09,,,,,,,,,,,,,,,,,,,,,,,,13.5,,E,,C&M,Au
Jasper Queen,WA,1995,0.173,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.871,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Bottle Creek,WA,1988-1990,1.07,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.370,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Nicholsons,WA,2015-2021#,1.27,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.521,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Au
Kirkalocka,WA,2002-2008,7.23,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.564,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Dalgaranga,WA,"1996-2021@,#",16.4,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.77,,,,,,,,,,,,,,,,,,,,,,,,145.5,,E,,Op,Au
Vivien,WA,2016-2017,0.341,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.492,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Day Dawn,WA,1990-1991,0.204,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Kathleen Valley,WA,2015-2016,0.468,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.049,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Gabanintha,WA,1989-1991,0.859,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.753,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Burbanks,WA,2006-2016,0.604,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.251,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Carosue Dam,WA,"2000-2021@,#",37.6,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.05,,,,,,,,,,,,,,,,,,,,,,,,51.3,,E,,Op,Au
Kaltails,WA,1989-1998,57.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.39,,,,,,,,,,,,,,,,,,,,,,,,not relevant,,,,C&M,Au
Thunderbox,WA,2016-2021#,16.1,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.04,,,,,,,,,,,,,,,,,,,,,,,,153.1,,,,Op,Au
Jaurdi,WA,2019-2021#,1.37,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.011,,,,,,,,,,,,,,,,,,,,,,,,5.52,,,,Op,Au
Barnicoat-Laverton,WA,1990-2005@,6.48,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.82,,,,,,,,,,,,,,,,,,,,,,,,12.9,,E,,C&M,Au
Frog's Leg,WA,2008-2010,1.55,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.166,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Grant's Patch,WA,1988-1997,0.807,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.501,,,,,,,,,,,,,,,,,,,,,,,,10.2,,E,,C&M,Au
Paulsens,WA,2005-2017,4.54,6.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.22,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Mount Monger-Randalls Group,WA,1992-2021#,19.1,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.92,,,,,,,,,,,,,,,,,,,,,,,,26.6,,E,,Op,Au
Horseshoe Lights (Au),WA,1984-1991,2.92,6.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.378,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Horseshoe Lights (CuAuAg),WA,1988-1994,2.00,3.32,77.4,4.79,,,,,,,,,,,158.9,20.74,18.72,293,,,,,159.3,22.19,14.54,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.045,78.52,68.51,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Cu-Au-Ag
DeGrussa (Au only),WA,2012-2013,0.108,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
DeGrussa (CuAu),WA,2012-2021#,14.4,1.7,,4.7,,,,,,,,,,,145.0,23.8,3.1,,,,,,"2,558",24.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.41,,648.7,,,,,,,,,,,,,,,,,,,,,,24.0,,E,,Op,Cu-Au
Youanmi,WA,1987-1998,5.63,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.40,,,,,,,,,,,,,,,,,,,,,,,,28.7,,E,,C&M,Au
Evanston,WA,1998-2000,0.095,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Wattle Dam,WA,2006-2013,0.929,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.735,,,,,,,,,,,,,,,,,,,,,,,,1.25,,E,,C&M,Au
Rothsay,WA,1989-1991,0.211,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Duketon-Northern Operations,WA,2010-2021#,32.5,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.46,,,,,,,,,,,,,,,,,,,,,,,,208.5,,,,Op,Au
Reedy,WA,1984-1993,4.29,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.98,,,,,,,,,,,,,,,,,,,,,,,,13.4,,E,,C&M,Au
Rosemont,WA,2010-2021@,6.84,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.259,,,,,,,,,,,,,,,,,,,,,,,,91.9,,E,,C&M,Au
Edna May,WA,2010-2021#,30.5,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.21,,,,,,,,,,,,,,,,,,,,,,,,36.7,,E,,Op,Au
Teutonic Bore,WA,1981-1985,1.40,,160,3.62,,12.13,,,,,,,,,,,,,,,,,180.1,22.15,,631,,,,,,,,,272.9,47.71,,100,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010,140.8,41.4,,130.2,,,,,,,,,,,,,,,,,,,,5.34,,,,Rehab,Cu-Zn-Ag
Jaguar-Bentley,WA,2007-2018#,4.41,0.32,121,1.93,,8.86,,,,,,,,,,,,,,,,,293.2,23.85,1.84,"1,120",,,,,,,,,656.2,47.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.557,343.2,70.5,,321.7,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Cu-Zn-Ag
Golden Grove,WA,1991-2021#,38.9,0.94,58,1.89,0.55,7.19,,,,,,,,,,,,,,,,,"2,402",20.5,6.3,503,,,24.3E,27.4E,,,,,"4,353",51.0,,,,,,,,,,,,,,,,,,,,,,,,370.4,6.8,31.2,,"2,156",36.5,,,19.85,"1,218",510.3,116.6,"2,223",,,,,,,,,,,,,,,,,,,,ND,,,,Op,Cu-Zn-Pb-Ag-Au
Montague,WA,1988-1993,0.808,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.301,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Raleigh,WA,2007-2013,1.93,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.02,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Garden Well,WA,2011-2021#,53.0,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.45,,,,,,,,,,,,,,,,,,,,,,,,382.5,,E,,Op,Au
Hampton,WA,1989-1990,0.072,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Tropicana,WA,2013-2021#,62.1,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.3,,,,,,,,,,,,,,,,,,,,,,,,547.6,,,,Op,Au
Mount Magnet,WA,2012-2021#,16.9,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.92,,,,,,,,,,,,,,,,,,,,,,,,7.78,,E,,Op,Au
Challenger,SA,2002-2018,7.51,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.17,,,,,,,,,,,,,,,,,,,,,,,,5.56,,E,,C&M,Au
Tarcoola,SA,2017-2018,0.29,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,8.17,,,,C&M,Au
White Dam,SA,2010-2021#,7.47,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.544,,,,,,,,,,,,,,,,,,,,,,,,9.70,,E,,Op,Au
Elizabeth Hill,WA,1998-2000,0.027,,"2,859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,"346,052",,,,,46.2,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Bauxite Hills,QLD,2018-2021#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.31,Mt bauxite,,,,ND,Bauxite,,,Op,Bauxite
Beaconsfield,TAS,2000-2013,2.65,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.35,2.65,,,,,,,,,,,,,,,,,,,,,,,1.12,,E,,C&M,Au
Henty,TAS,1996-2020,4.98,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.26,10.5,,,,,,,,,,,,,,,,,,,,,,,1.10,,E,,C&M,Au
Linton,VIC,1998-1999,0.00032,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00067,,,,,,,,,,,,,,,,,,,,,,,,0.003,,E,,C&M,Au
Prominent Hill,SA,2009-2021#,122.8,0.61,2.95,1.20,,,,,,,,,,,,,,,,,,,"2,618",48.89998201,21.4,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.10,263.8,"1,280",,,,,,,,,,,,,,,,,,,,,,570.8,,,,Op,Cu-Au-Ag
Olympic Dam,SA,1988-2021#,225.9,0.55,5.1,2.23,,,,,,,,,0.064,%U3O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.45,677.1,"4,660",,,,,,,,98.77,,,,,,,,,,,,,,21.5,,E,,Op,Cu-U-Au-Ag
Kanmantoo (1860s),SA,1857-1874,0.011,,,8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
Kanmantoo (1970s),SA,1972-1976,4.11,0.076,1.71,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312,7.02,30.0,,,,,,,,,,,,,,,,,,,,,,16.5,,E,,Aban,Cu-Au-Ag
Kanmantoo (2010s),SA,2011-2020,26.9,0.12,2.31,0.58,,,,,,,,,,,,,,,,,,,590.9,23.20,2.95,52.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.741,31.3,137.1,,,,,,,,,,,,,,,,,,,,,,118.0,,,,C&M,Cu-Au-Ag
Burra Burra (1800s),SA,1845-1877,0.238,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
Peak Downs (Cu),QLD,1863-1877,0.10,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
Burra (1970s),SA,1972-1983,1.69,1.75,,,,,,,,,,,,,,,,,,,,,29.47,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,,,,,,,,,,,,,,,,,,,,,,4.11,,E,,Aban,Cu
Blinman,SA,1862-1918,0.203,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
Carrapateena,SA,2020-2021#,7.55,0.71,8.33,1.19,,,,,,,,,,,,,,,,,,,208.9,21.30,21.3,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.443,44.5,82.9,,,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Cu-Au-Ag
Angas,SA,2008-2013,1.99,0.52,31.3,0.22,3.09,7.29,,,,,,,,,,,,,,,,,,,,,,,99.1,52.6,,495,3.4,7.6,243.9,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.750,49.0,3.35,52.12,122.7,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Pb-Zn-Ag-Au
Parkes (London-Victoria),NSW,1988-1996,3.33,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,1.38,,,,,,,,,,,,,,,,,,,,,,,4.99,,,,Rehab,Au
Browns Creek,NSW,1987-1999@,3.21,4.41,6.47,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.94,15.6,9.43,,,,,,,,,,,,,,,,,,,,,,4.72,,E,,Rehab,Au-Cu
Hill End,NSW,2011,0.035,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Hera,NSW,2014-2021#,2.79,4.00,19.27,,2.46,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.3,,31.2,23.4,179,,,,9.583,47.6,,82.87,62.13,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Au-Pb-Zn-Ag
