Mine / Project / Field,State /,Operating,Processed,Ore Grades,,,,,,,,,,,,,Direct Shipping Ore,,,,,,,,Copper Concentrate,,,,,,Lead Concentrate,,,,,,Zinc Concentrate,,,,,,Nickel Concentrate,,,,,,,,,,,,,,,,,,,Other Concentrate,,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Tailings,Dollied,Alluvial,Waste Rock,Extraction,Rock,,Status,Metals / Minerals
(in no particular order),Territory,Period,Mt ore,g/t Au,g/t Ag,%Cu,%Pb,%Zn,%Ni,%Co,%Sn,%WO3,%Fe,%Li,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,kt conc,%Pb,%Zn,g/t Ag,%Cu,g/t Au,kt conc,%Zn,%Pb,g/t Ag,%Cu,g/t Au,kt conc,%Ni,%Cu,%Co,g/t PGEs,g/t Au,g/t Ag,kt conc,%Sn,kt conc,%Sn,kt conc,%WO3,kt conc,%WO3,Mt conc,%Fe,kt conc,%Li,kt conc,%Cu,%Pb,%Zn,g/t Ag,g/t Au,Other,Other,t Au,t Ag,kt Cu,kt Pb,kt Zn,kt Ni,kt Co,Mt Fe ore,kt Sn,kt WO3,kt U3O8,Mt Mn conc,Mt brown coal,t PGEs,kt Sb,Mt PO4 rock,Mcarats,kt REO,kt Li,Other,Other,kg Au,kg Au,kg Au,Mt,Estimated,Estimated,,,
Deflector,WA,2016-2021#,3.29,5.05,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.51,,15.19,,,,,,,,,,,,,,,,,,,,,,1.21,,E,,Op,Au-Cu
Mount Percy,WA,1988-1997,5.10,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.171,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Brightstar,WA,2010-2012,0.411,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.651,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Big Bell,WA,1988-2001,30.4,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.07,,,,,,,,,,,,,,,,,,,,,,,,81.8,,E,,C&M,Au
South Kagloorlie,WA,2002-2021#,45.2,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.1,,,,,,,,,,,,,,,,,,,,,,,,58.1,,E,,Op,Au
Jubilee,WA,1988-2001,16.1,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.63,,,,,,,,,,,,,,,,,,,,,,,,40.5,,E,,C&M,Au
Nullagine,WA,2012-2021@,13.8,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.98,,,,,,,,,,,,,,,,,,,,,,,,74.33,,,,C&M,Au
Gruyere,WA,"2019-2021@,#",19.8,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.78,,,,,,,,,,,,,,,,,,,,,,,,60.55,,,,Op,Au
Karonie,WA,1988-1993,1.78,3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.366,,,,,,,,,,,,,,,,,,,,,,,,4.50,,E,,C&M,Au
Golden Crown,WA,1991-1994,0.269,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.489,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
