,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,NSW,,VIC,VIC,VIC,,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,TAS,,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,QLD,,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,WA,,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,439",47.8,"1,220",59.2,722,,16.0,65,10.4,,,"1,372",13.6,"2,683",4.1,12.5,,,,39,408,2.1,157,,,"4,691",,32.3,368,"1,052",15.0,60.2,,,97.8,"1,626",70,"1,138",,,,358,66.3,237,,,449,52.2,234,,,0.23,69.6,0.16,Murchison,807,58.4,472,,,,,,,,,,,,29.1,70,20.4
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,686",48.5,"2,936",58.4,"1,714",,6.0,65,3.9,,,"1,861",14.3,"2,743",3.9,26.1,,,,29,408,0.53,173,,,"5,260",,24.0,117,"1,323",6.4,41.9,,,185,"1,698",70,"1,189",,,,408,69.1,282,,,363,68.0,247,,,,,,,771,68.6,529,,,,,,,,,,,,55.8,70,39.1
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,713",47.8,"3,136",59.0,"1,850",,5.2,65,3.4,,,"1,658",16.5,"3,848",1.5,10.6,,,,20,334,0.37,122,,,"6,011",,26.3,126,"1,155",32.5,147,,,180,"1,667",70,"1,167",,,,339,68.0,230,,,523,71.5,374,,,,,,,862,70.1,604,,,,,,,,,,,,48.1,70,33.6
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,268",47.0,"4,166",59.0,"2,460",,0.16,65,0.10,,,"2,169",11.1,"4,139",0.80,6.9,,,,31,243,0.57,131,,,"6,732",,23.1,344,"1,072",86.0,207,,,85.0,"1,816",70,"1,271",,,,"1,504",70.3,"1,058",,,533,70.3,375,,,,,,,"2,037",70.3,"1,433",,,,,,,,,,,,13.1,70,9.1
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,424",48.3,"5,265",56.9,"2,998",,0.10,65,0.064,,,"1,675",114,"3,573",0.089,2.3,,,,25,190,0.27,127,,,"5,708",,18.7,678,"1,295",236,462,,,,"2,690",70,"1,883",,,,879,71.7,630,,,337,70.6,238,,,,,,,"1,216",71.4,868,,,,,,,,,,,,9.5,70,6.6
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,083",46.6,"4,157",53.7,"2,234",,,,,,,"1,595",70.4,"3,878",,0.28,,,,42,168,1.2,87.0,,,"5,842",,43.3,947,"1,067",58.2,187,,,52.9,"2,356",70,"1,649",,,,750,68.8,516,,,131,71.0,92.8,,,,,,,880,69.2,609,,,,,,,,,,,,1.8,70,1.2
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,936",44.7,"3,475",53.4,"1,854",,0.046,65,0.030,,,"1,409",266,"3,548",14,0.80,,,,43,138,0.43,98.9,,,"5,518",,25.6,837,"1,281",217,150,,,72.3,"2,583",70,"1,808",,,,624,69.0,431,,,343,66.0,226,,,,,,,967,67.9,657,,,,,,,,,,,,20.2,70,14.1
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,265",45.0,"2,787",52.5,"1,464",,2.9,72,2.1,,,"1,644",110,"4,526",75,1.3,,,,11,117,0.33,82.9,,,"6,567",,29.6,632,"1,175",373,168,,,11.0,"2,389",70,"1,672",,,,563,72.3,407,,,39,71.8,28,,,,,,,602,72.3,435,,,,,,,,,,,,18.4,70,12.9
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,362",47.0,"2,700",52.3,"1,413",,2.1,65,1.4,,,"1,465",13,"4,872",63.5,3.1,,,,12,127,0.23,85.8,,,"6,641",,22.3,705,"1,187",445,154,,,339,"2,852",70,"1,996",,,,480,72.5,348,,,156,71.8,112,,,,,,,636,72.3,460,,,,,,,,,,,,20.8,70,14.5
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,500",49.0,"4,059",54.4,"2,209",,1.8,65,1.2,,,"1,242",0.17,"5,761",12.8,11.4,,,,8,105,0.79,114,,,"7,256",,36.6,429,"1,246",390,471,,,220,"2,793",67.5,"1,885",,,,565,72.3,409,,,127,69.8,88.6,,,,,,,692,71.8,497,,,,,,,,,,,,8.3,70,5.8
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,818",51.5,"4,639",55.8,"2,588",,0.50,65,0.32,,,"1,106",0.24,"5,337",,28.3,,,,6,109,1.5,144,,,"6,731",,43.7,996,"1,067",322,736,,,534,"3,698",65,"2,404",,,,534,72.4,386,,,161,63.9,103,,,,,,,695,70.4,489,,,,,,,,,,,,60.5,70,42.4
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,297",52.0,"4,390",54.7,"2,402",,,,,,,774.6,0.16,"2,540",,11.3,,,,,80,0.5,67,,,"3,474",,52.1,882,"1,623",294,989,,,764,"4,603",62.5,"2,877",,,,420,71.4,300,,,138,69.3,95.7,,,,,,,558,70.9,396,,,,,,,,,,,,22.0,70,15.4
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,751",52.0,"3,728",55.1,"2,053",,,,,,,"1,122",0.30,"5,546",,33.1,,,,,149,4.5,103,,,"6,957",,71.7,490,"1,594",250,"1,233",,,580,"4,219",60,"2,531",,,,599,72.1,432,,,322,63.7,205,,,,,,,922,69.2,638,,,,,,,,,,,,76.0,70,53.2
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,524",52.0,"3,169",52.1,"1,652",,,,,,,"1,302",0.18,"5,152",,53.7,,,,,113,1.5,83,,,"6,705",,56.3,,,,,,,,"4,008",57.5,"2,305",,,,551,69.7,384,,,170,71.7,122,,,,,,,720,70.2,505,,,,,,,,,,,,32.0,70,22.4
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,036",52.0,"3,214",49.0,"1,576",,,,,,,"1,319",0.14,"5,078",,32.2,,,,,,0.64,34,,,"6,464",,41,,,,,,,,"3,797",56.1,"2,130",,,,492,70.0,344,,,283,72.4,205,,,,,,,775,70.9,549,,,,,,,,,,,,48.1,70,33.6
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,063",52.0,"2,832",49.0,"1,388",,,,,,,955,0.12,"3,822",,28.0,,,,,,0.55,29,,,"4,835",,39,,,,,,,,"3,411",51.1,"1,744",,,,560,70.0,392,,,160,71.0,113,,,,,,,720,70.2,505,,,,,,,,,,,,78.9,70,55.3
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,441",52.0,"2,430",53.7,"1,306",,,,,,,516,0.10,"2,892",,24.1,,,,,,0.48,25,,,"3,458",,48,,,,,,,,"3,448",56.9,"1,961",,,,436,70.0,305,,,22.1,71.4,15.8,,,,,,,458,70.1,321,,,,,,,,,,,,57.0,70,39.9
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,031",52.0,"2,479",51.6,"1,280",,,,,,,666,0.14,"3,646",,34.3,,,,,,0.68,36,,,"4,383",,35,,,,,,,,"2,303",53.3,"1,227",,,,710,70.0,497,,,32.1,73.6,23.6,,,,,,,742,70.2,520,,,,,,,,,,,,55.8,70,39.1
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,51.2,249,,,,,,,,0.07,"6,832",,15.4,,,,,,0.31,16,,,"6,864",,31,,,,,,,,"1,268",55.0,698,,,,614,70.0,430,,,33.9,72.0,24.4,,,,,,,647,70.1,454,,,,,,,,,,,,59.3,70,41.5
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,37.5,3,,,,,,,,,"6,222",,,,,,,,,,,,"6,222",,13,,,,,,,,630,52.4,330,,,,375,69.9,262,,,,,,,,,,,,375,69.9,262,,,,,,,,,,,,38.0,70,26.6
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,940",,,,,,,,,,,,"6,940",,,,,,,,,,251,66.1,166,,,,325,69.1,225,,,6.9,72.1,5.0,,,,,,,332,69.2,230,,,,,,,,,,,,29.7,70,20.8
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,831",,,,132,,,,,,,,"7,963",,,,,,,,,,103,60,62,,,,208,68.6,143,,,4,60.3,2.4,,,,,,,212,68.5,145,,,,,,,,,,,,27.9,70,19.5
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,120",,,,437,,,,,,,,"5,557",,,,,,,,,,93,60,56,,,,272,67.6,184,,,1.4,72.3,1,,,,,,,273,67.7,185,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,007",,,,110.1,,,,,,,,"6,117",,,,,,,,,,87,60,52,,,,284,68.3,194,,,5.8,69.5,4,,,,,,,290,68.3,198,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,68.4,13,,,,,,,,,"7,732",,,,,,,,,,,,"7,732",,,,,,,,,,22,60,13,,,,143,68.7,98,,,18,68.5,12,,,,,,,160,68.7,110,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,525",,,,,,,,,,,,"7,525",,,,,,,,,,35,60,21,,,,296,68.5,203,,,8.8,68.5,6,,,,,,,305,68.5,209,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,303",,,,17.4,,,,,,,,"7,320",,,,,,,,,,132,60,79,,,,601,68.4,411,,,26,67.8,17.8,,,,,,,627,68.3,429,,,,,,,,,,,,24.9,70,17.4
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,319",,,,140.9,,,,,,,,"8,460",,,,,,,,,,117,60,70,,,,584,62.8,367,,,4.3,69.3,3,,,,,,,588,62.9,370,,,,,,,,,,,,50.4,70,35.3
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,635",,,,115.1,,,,,,,,"8,750",,,,,,,,,,67,60,40,,,,777,67.3,523,,,,,,,,,,,,777,67.3,523,,,,,,,,,,,,96.1,70,67.3
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,262",,,,,,,,,,,,"8,262",,,,,,,,,,67,60,40,,,,876,67.2,588,,,,,,,,,,,,876,67.2,588,,,,,,,,,,,,64.1,70,44.9
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,65,40,,,,,,,,,"9,236",,,,,,,,,,,,"9,236",,,,,,,,,,67,60,40,,,,697,66.8,466,,,,,,,,,,,,697,66.8,466,,,,,,,,,,,,11.9,70,8.3
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,194",,,,,,,,,,,,"9,194",,,,,,,,,,,,,,,,"1,071",66.5,713,,,,,,,,,,,,"1,071",66.5,713,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,977",,,,,,,,,,,,"8,977",,,,,,,,,,,,,,,,"1,476",66.1,976,,,,,,,,,,,,"1,476",66.1,976,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,153",65,750,,,,,,,,,"7,356",,,,,,,,,,,,"7,356",,,,,,,,,,2,50,1,,,,"1,142",66.8,763,,,,,,,,,,,,"1,142",66.8,763,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,586",65,"1,031",,,,,,,,,"4,645",,,,,,,,,,,,"4,645",,,,,,,,,,4,50,2,,,,979,66.7,653,,,,,,,,,,,,979,66.7,653,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,65,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,80,8,,,,640,66.6,426,,,,,,,,,,,,640,66.6,426,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,831",,,,,,,,,,,,"1,831",,,,,,,,,,19,78.9,15,,,,642,66.5,427,,,,,,,,,,,,642,66.5,427,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,59.0,254,,,,640,66.6,426,,,,,,,,,,,,640,66.6,426,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,240",59.0,"1,912",,,,222,66.6,148,,,,,,,,,,,,222,66.6,148,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,079",,,,,,,,,,,,"1,079",,,,,,,,,,,,,,,,255,66.6,170,,,,,,,,,,,,255,66.6,170,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,630",,,,,,,,,,,,"5,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,263",,,,,,,,,,,,"6,263",,,,,,,,,,3,65,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,014",,,,,,,,,,,,"5,014",,,,,,,,,,2,50.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,848",,,,,,,,,,,,"5,848",,,,,,,,,,3,66.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,152",,,,,,,,,,,,"6,152",,,,,,,,,,36,66.7,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,887",,,,,,,,,,,,"6,887",,,,,,,,,,9,65,5.9,,,,,,,,,,,,,,,,,,20.0,70,14,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,816",,,,,,,,,,,,"6,816",,,,,,,,,,1,65,0.7,,,,,,,,,,,,,,,,,,31.1,70,21.8,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,314",,,,,,,,,,,,"6,314",,,,,,,,,,1.98,65,1.3,,,,,,,,,,,,,,,,,,59.0,70,41.3,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,082",,,,,,,,,,,,"7,082",,,,,,,,,,0.27,65,0.17,,,,,,,,,,,,,,,,,,30.1,70,21.1,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,557",,,,,,,,,,,,"6,557",,,,,,,,,,1.25,65,0.81,,,,,,,,,,,,,,,,,,117,70,82.1,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,418",,,,,,,,,,,,"7,418",,,,,,,,,,0.57,65,0.37,,,,,,,,,,,,,,,,,,142,70,99.3,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,798",,,,,,,,,,,,"7,798",,,,,,,,,,1.32,65,0.85,,,,,,,,,,,,,,,,,,160,70,112,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,452",,,,,,,,,,,,"8,452",,,,,,,,,,1.41,65,0.91,,,,,,,,,,,,,,,,,,102,70,71.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"341,112",,"1,390",,"18,113",,"4,976",,"7,952",,"8,390",,453,,"3,069",,"188,877",,"26,659",,"5,368,789",,"705,396",,"75,119",,"4,195",,842,,"126,016",,"37,284",,"5,489,337",,"758,021",,"1,417,849",,"14,526",,"13,119",,"3,024,481",,"19,056,270",,,,"1,070,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,529,752",,,,,"1,180,795",,,,,"1,085",,,,"3,757,960",,,,,,,,,,,,,,,
1854,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,6265.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1855,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,4242.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1856,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,39546.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1857,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,50320.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1858,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,25450.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1859,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,7762.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1860,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,6937.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1861,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,10579.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1862,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,4850.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1863,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,5547.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1864,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,6649.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1865,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1166.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1866,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,6575.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1867,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,12623.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1868,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,15671.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1869,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,19134.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1870,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,10436.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1871,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,17272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1872,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9207.5,,0,,0,,0,,0,,0,,0,,46037.5,,0,,9575.8,,0,,0,,0,,64820.8,,,,21726.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1873,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,93916.5,,0,,0,,0,,0,,0,,0,,128905,,0,,93916.5,,0,,0,,0,,316738,,,,12431.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1874,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,92075,,0,,0,,0,,0,,0,,0,,183045.1,,0,,92075,,0,,0,,0,,367195.1,,,,8206.871807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1875,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,123306.84,,0,,0,,0,,0,,0,,0,,223926.4,,0,,114909.6,,0,,0,,0,,462142.84,,,,4824.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1876,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,169418,,73660,,0,,0,,0,,0,,0,,221606.11,,0,,102092.76,,0,,0,,0,,566776.87,,,,1920.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
1877,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,132588,,7366,,0,,0,,0,,0,,0,,128831.34,,0,,102755.7,,0,,0,,0,,371541.04,,,,6731.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,
